看看	to take a look	kàn kàn	你 来 看看 这 张 照片	nǐ lái kànkan zhè zhāng zhàopiàn	Come take a look at this photo.
杀	to kill	shā	他 不会 杀 人	tā bù huì shārén	He would not kill people.
不过	but; however	bù guò	他 很 累，不过 他 还是 去 上班 了	tā hěn lèi, bùguò tā háishì qù shàngbān le	He was tired, but he still went to work.
呃	um, uh	è	呃 ， 我 不 知道	è, wǒ bù zhīdào	Um, I don't know.
成功	success	chéng gōng	你 一定 会 成功 的	nǐ yīdìng huì chénggōng de	You will definitely succeed.
发生	to happen	fā shēng	昨天 发生 了 什么 事	zuótiān fāshēng le shénme shì	What happened yesterday?
回来	to come back	huí lái	你 什么 时候 回来	nǐ shénme shíhou huílái	When will you come back?
一切	everything	yī qiè	一切 都 很 好	yīqiè dōu hěn hǎo	Everything is fine.
抱歉	sorry	bào qiàn	抱歉 ， 我 迟到 了	bàoqiàn, wǒ chídào le	Sorry, I'm late.
感觉	to feel	gǎn jué	我 感觉 很 好	wǒ gǎnjué hěn hǎo	I feel very good.
只是	only; just	zhǐ shì	我 只是 想 看看 你	wǒ zhǐshì xiǎng kànkan nǐ	I just want to take a look at you.
出来	to come out	chū lái	太阳 出来 了	tàiyáng chūlái le	The sun has come out.
不要	don't	bù yào	不要 说话	bùyào shuōhuà	Don't speak.
一点	a little bit	yī diǎn	我 会 说 一点 汉语	wǒ huì shuō yīdiǎn hànyǔ	I can speak a little Chinese.
并	and; also	bìng	他 喜欢 唱歌 并 跳舞	tā xǐhuan chànggē bìng tiàowǔ	He likes to sing and dance.
不错	not bad	bù cuò	你 今天 做得 不错	nǐ jīntiān zuò dé bùcuò	You did a good job today.
肯定	definitely	kěn dìng	他 肯定 会 来	tā kěndìng huì lái	He will definitely come.
搞	to do; to manage	gǎo	我 不 知道 他 在 搞 什么	wǒ bù zhīdào tā zài gǎo shénme	I don't know what he's up to.
棒	great	bàng	你 的 工作 很 棒	nǐ de gōngzuò hěn bàng	Your work is great.
那样	that kind; like that	nà yàng	我 不 喜欢 那样 的 东西	wǒ bù xǐhuan nàyàng de dōngxi	I don't like that kind of thing.
那里	there	nà lǐ	那里 有 一 家 商店	nàlǐ yǒu yī jiā shāngdiàn	There is a store there.
嘛	(particle indicating that something is obvious)	ma	这 很 简单 嘛	zhè hěn jiǎndān ma	This is very simple!
过来	to come over	guò lái	请 你 过来 一下	qǐng nǐ guòlái yīxià	Please come over here for a bit.
掉	(particle indicating removal or completion)	diào	我 的 钱 掉 了	wǒ de qián diào le	My money fell out/is gone.
等等	and so on	děng děng	我 喜欢 苹果 ， 香蕉 等等	wǒ xǐhuan píngguǒ, xiāngjiāo děngděng	I like apples, bananas, and so on.
生活	life	shēng huó	我 的 生活 很 好	wǒ de shēnghuó hěn hǎo	My life is good.
之	of	zhī	这 是 成功 之 路	zhè shì chénggōng zhī lù	This is the road to success.
之前	before	zhī qián	吃饭 之前 我 要 洗手	chīfàn zhīqián wǒ yào xǐshǒu	I need to wash my hands before eating.
伙计	guy	huǒ ji	那 个 伙计 是 谁	nà ge huǒji shì shéi	Who's that guy?
手	hand	shǒu	我 的 手 很 冷	wǒ de shǒu hěn lěng	My hands are cold.
任何	any	rèn hé	我 没有 任何 问题	wǒ méiyǒu rènhé wèntí	I don't have any questions.
上帝	God	shàng dì	上帝 会 帮助 你	shàngdì huì bāngzhù nǐ.	God will help you.
家伙	guy	jiā huo	那 个 家伙 是 谁？	nà ge jiāhuo shì shéi?	Who is that guy?
与	with	yǔ	我 与 朋友 一起 去 商店	wǒ yǔ péngyou yīqǐ qù shāngdiàn	I go to the store with friends.
弄	to get; to do	nòng	我 不 知道 怎么 弄	wǒ bù zhīdào zěnme nòng	I don't know how to do it.
啦	(particle indicating exclamation)	la	太 好 啦	tài hǎo la	Great!/That's fantastic!
却	but; yet	què	他 很 有钱 ， 却 不 快乐	tā hěn yǒuqián, què bù kuàilè	He is rich, but he is not happy.
算	to count; to be considered as	suàn	这 不 算 什么	zhè bù suàn shénme	This doesn't count for much/This is nothing.
继续	to continue	jì xù	请 继续 学习	qǐng jìxù xuéxí	Please continue studying.
警察	police	jǐng chá	警察 来 了	jǐngchá lái le	The police have arrived.
以	by means of	yǐ	他 以 铅笔 写字	tā yǐ qiānbǐ xiězì	He writes with pencil.
亲爱	dear	qīn ài	亲爱 的 妈妈， 你 好 吗	qīn'ài de māma, nǐ hǎo ma	Dear Mother, how are you?
成	to become	chéng	他 长大 后 成 了 一 名 医生	tā zhǎngdà hòu chéng le yī míng yīshēng	He grew up to become a doctor.
够	enough	gòu	我 吃 够 了	wǒ chī gòu le	I've eaten enough.
父亲	father	fù qīn	我 的 父亲 是 一 名 老师	wǒ de fùqīn shì yī míng lǎoshī	My father is a teacher.
跑	to run	pǎo	他 跑 得 很 快	tā pǎo de hěn kuài	He runs very fast.
美国	America	měi guó	我 的 朋友 来自 美国	wǒ de péngyou láizì měiguó	My friend is from America.
完全	completely	wán quán	我 完全 同意 你	wǒ wánquán tóngyì nǐ	I completely agree with you.
宝贝	baby	bǎo bèi	这 个 宝贝 很 可爱	zhè ge bǎobèi hěn kě'ài	This baby is very cute.
枪	gun	qiāng	警察 有 枪	jǐngchá yǒu qiāng	The police have guns.
可是	but	kě shì	我 很 想 去 ， 可是 我 没 时间	wǒ hěn xiǎng qù, kěshì wǒ méi shíjiān	I really want to go, but I don't have time.
谈	to talk	tán	我们 来 谈谈 吧	wǒmen lái tántan ba	Let's talk.
活	to live; alive	huó	他 还 活 着	tā hái huózhe	He is still alive.
者	(suffix indicating person or thing)	zhě	读 者 喜欢 这 本 书	dúzhě xǐhuan zhè běn shū	Readers like this book.
好像	to seem like	hǎo xiàng	他 好像 生病 了	tā hǎoxiàng shēngbìng le	He seems to be sick.
得到	to get	dé dào	我 得到 了 一 个 好 工作	wǒ dédào le yī gè hǎo gōngzuò	I got a good job.
之后	after	zhī hòu	吃饭 之后 我们 去 看 电影	chīfàn zhīhòu wǒmen qù kàn diànyǐng	After eating, we'll go see a movie.
场	(measure word for events)	chǎng	这 场 电影 很 好看	zhè chǎng diànyǐng hěn hǎokàn	This movie is very good to watch.
求	to beg; to request	qiú	我 求 你 帮助 我	wǒ qiú nǐ bāngzhù wǒ	I beg you to help me.
刚	just	gāng	我 刚 回家	wǒ gāng huíjiā	I just got home.
如何	how	rú hé	你 觉得 这 件 衣服 如何	nǐ juéde zhè jiàn yīfu rúhé	How do you feel about this clothing?
呀	(particle expressing surprise or doubt)	ya	你 在 这儿 呀	nǐ zài zhè'er ya	Oh, you are here!
情况	situation	qíng kuàng	现在 情况 怎么样	xiànzài qíngkuàng zěnmeyàng	How is the situation now?
变	to change	biàn	天气 变 冷 了	tiānqì biàn lěng le	The weather has turned cold.
女士	lady	nǚ shì	这位 女士 是 谁	zhèwèi nǚshì shì shéi	Who is this lady?
根本	at all; simply	gēn běn	我 根本 不 懂	wǒ gēnběn bù dǒng	I simply don't understand.
只要	as long as	zhǐ yào	只要 你 努力 ， 就 会 成功	zhǐyào nǐ nǔlì, jiù huì chénggōng	As long as you work hard, you will succeed.
到底	in the end; finally	dào dǐ	你 到底 想 做 什么	nǐ dàodǐ xiǎng zuò shénme	What exactly do you want to do?
成为	to become	chéng wéi	他 想 成为 一 名 医生	tā xiǎng chéngwéi yī míng yīshēng	He wants to become a doctor.
永远	forever	yǒng yuǎn	我 永远 爱 你	wǒ yǒngyuǎn ài nǐ	I will love you forever.
来说	as for; concerning	lái shuō	对 我 来说 ， 这 很 重要	duì wǒ láishuō, zhè hěn zhòngyào	For me, this is very important.
哇	wow	wā	哇 ， 这 个 苹果 真 大	wā, zhège píngguǒ zhēn dà	Wow, this apple is really big!
名	(measure word for people)	míng	他 是 一 名 学生	tā shì yī míng xuésheng	He is a student.
确定	to be sure	què dìng	你 确定 吗	nǐ quèdìng ma	Are you sure?
有人	someone	yǒu rén	有人 在 房间 里	yǒurén zài fángjiān lǐ	Someone is in the room.
安全	safe	ān quán	这 个 地方 很 安全	zhè ge dìfang hěn ānquán	This place is very safe.
没什么	it's nothing	méi shén me	没什么 ， 我 很 好	méi shénme, wǒ hěn hǎo	It's nothing, I'm fine.
留	to stay; to leave behind	liú	请 你 留 下来	qǐng nǐ liú xiàlái	Please stay.
计划	plan	jì huà	我 的 计划 是 学 汉语	wǒ de jìhuà shì xué hànyǔ	My plan is to learn Chinese.
俩	two (people)	liǎ	我们 俩 是 好 朋友	wǒmen liǎ shì hǎo péngyou	The two of us are good friends.
停	to stop	tíng	请 你 停 下来	qǐng nǐ tíng xiàlái	Please stop.
他妈的	damn it (taboo)	tā mā de	他妈的 ， 这 是 什么	tāmāde, zhè shì shénme	Damn it, what is this?
另	other	lìng	我 要 另 一 杯 水	wǒ yào lìng yī bēi shuǐ	I want another cup of water.
心	heart	xīn	医生 在 听 病人 的 心	yīshēng zài tīng bìngrén de xīn	The doctor is listening to the patient's heart.
感谢	to thank	gǎn xiè	感谢 你 的 帮助	gǎnxiè nǐ de bāngzhù	Thank you for your help.
于	in; at; on	yú	我 生于 一九九零 年	wǒ shēngyú yījiǔjiǔlíng nián	I was born in 1990.
管	to care about; to manage	guǎn	我 不管 你	wǒ bùguǎn nǐ	I don't care about you.
从来	always; never (if used with negative)	cóng lái	我 从来 不 吃 肉	wǒ cónglái bù chī ròu	I never eat meat.
嘴	mouth	zuǐ	她 的 嘴 很 小	tā de zuǐ hěn xiǎo	Her mouth is very small.
拜托	please (request)	bài tuō	拜托 你 ， 帮帮 我	bàituō nǐ, bāngbang wǒ	Please, help me.
抓	to grab; to catch	zhuā	 警察 抓 到 了 坏人	jǐngchá zhuā dào le huàirén	The police caught the bad guy.
动	to move	dòng	不要 动	bùyào dòng	Don't move.
赢	to win	yíng	我 想 赢 这 个 游戏	wǒ xiǎng yíng zhè ge yóuxì	I want to win this game.
消息	news	xiāo xi	我 有 一 个 好 消息	wǒ yǒu yī gè hǎo xiāoxi	I have good news.
或许	perhaps	huò xǔ	或许 他 会 来	huòxǔ tā huì lái	Perhaps he will come.
如此	so; like this	rú cǐ	事情 就是 如此	shìqing jiùshì rúcǐ	That's how things are.
队	team	duì	我们 的 队 赢 了	wǒmen de duì yíng le	Our team won.
无法	unable	wú fǎ	我 无法 帮助 你	wǒ wúfǎ bāngzhù nǐ	I am unable to help you.
房子	house	fáng zi	这 个 房子 很 大	zhè ge fángzi hěn dà	This house is very big.
听说	to be told	tīng shuō	我 听说 你 要 去 北京	wǒ tīngshuō nǐ yào qù Běijīng	I heard you are going to Beijing.
救	to save	jiù	请 你 救救 我	qǐng nǐ jiùjiu wǒ	Please save me.
唯一	only	wéi yī	这 是 唯一 的 办法	zhè shì wéiyī de bànfǎ	This is the only way.
该死	damn	gāi sǐ	真 该死	zhēn gāisǐ	Damn it.
闭	to close	bì	请 你 闭 上 眼睛	qǐng nǐ bìshàng yǎnjing	Please close your eyes.
原因	reason	yuán yīn	这 是 什么 原因	zhè shì shénme yuányīn	What is the reason for this?
下去	to go down; to continue	xià qù	请 你 说 下去	qǐng nǐ shuō xiàqù	Please continue speaking.
连	even	lián	我 连 一 个 字 都 不 认识	wǒ lián yī gè zì dōu bù rènshi	I don't even recognize a single word.
好好	well; carefully	hǎo hāo	你 好好 学习	nǐ hǎohāo xuéxí	Study well.
全	all; complete	quán	我们 全家 都 在 这儿	wǒmen quánjiā dōu zài zhè'er	Our whole family is here.
确实	indeed	què shí	这 确实 是 个 问题	zhè quèshí shì ge wèntí	This is indeed a problem.
挺	quite; very	tǐng	这 个 苹果 挺 甜 的	zhège píngguǒ tǐng tián de	This apple is quite sweet.
此	this	cǐ	此 事 很 重要	cǐ shì hěn zhòngyào	This matter is very important.
混蛋	bastard	hún dàn	那个 混蛋	nà gè húndàn	That bastard.
保证	to guarantee	bǎo zhèng	我 保证 这 是 真 的	wǒ bǎozhèng zhè shì zhēn de	I guarantee this is real.
接受	to accept	jiē shòu	我 接受 你 的 帮助	wǒ jiēshòu nǐ de bāngzhù	I accept your help.
改变	to change	gǎi biàn	我 想 改变 自己	wǒ xiǎng gǎibiàn zìjǐ	I want to change myself.
看来	it seems	kàn lái	看来 你 很 喜欢 这儿	kànlái nǐ hěn xǐhuan zhè'er	It seems you like it here.
麻烦	trouble	má fan	这 个 问题 很 麻烦	zhège wèntí hěn máfan	This problem is very troublesome.
试	to try	shì	让 我 试试	ràng wǒ shìshi	Let me try.
美	beautiful	měi	她 很 美	tā hěn měi	She is beautiful.
不管	no matter (what, how)	bù guǎn	不管 怎么样 ， 我 都 要 去	bùguǎn zěnmeyàng, wǒ dōu yào qù	No matter what, I'm going.
查	to check; to investigate	chá	请 你 查 一下	qǐng nǐ chá yīxià	Please check it.
忘	to forget	wàng	我 忘 了 我 的 书	wǒ wàng le wǒ de shū	I forgot my book.
甚至	even	shèn zhì	他 甚至 不 知道 我 的 名字	tā shènzhì bù zhīdào wǒ de míngzi	He doesn't even know my name.
保护	to protect	bǎo hù	我 要 保护 你	wǒ yào bǎohù nǐ	I want to protect you.
真正	real; true	zhēn zhèng	这 是 我 真正 的 朋友	zhè shì wǒ zhēnzhèng de péngyou	This is my real friend.
结果	result	jié guǒ	结果 很 好	jiéguǒ hěn hǎo	The result is very good.
表现	to show; performance	biǎo xiàn	他 的 表现 很 好	tā de biǎoxiàn hěn hǎo	His performance is very good.
拍	to pat; to take (a photo)	pāi	我 给 你 拍 张 照片	wǒ gěi nǐ pāi zhāng zhàopiàn	I'll take a photo of you.
进来	to come in	jìn lái	请 你 进来 ， 门 在 后面	qǐng nǐ jìnlái ， mén zài hòumian	Please come in, the door is in the back.
呆	to stay	dāi	我 想 在 这里 呆 一 会儿	wǒ xiǎng zài zhèlǐ dāi yīhuì'er	I want to stay here for a while.
当时	at that time	dāng shí	当时 我 还 在 学校 学习	dāngshí wǒ hái zài xuéxiào xuéxí	At that time, I was still studying in school.
或	or; perhaps	huò	你 想 喝 茶 或 咖啡 吗	nǐ xiǎng hē chá huò kā fēi ma	Do you want to drink tea or coffee?
怎么办	what to do	zěn me bàn	我 的 手机 坏 了 ， 怎么 办	wǒ de shǒujī huài le , zěnmebàn	My phone is broken, what should I do?
绝对	absolutely	jué duì	我 绝对 不 会 忘记 你	wǒ juéduì bù huì wàngjì nǐ	I will absolutely not forget you.
长官	commanding officer	zhǎng guān	长官 ， 我们 准备 好 了	zhǎngguān, wǒmen zhǔnbèi hǎo le	Sir, we are ready.
员	member; person engaged in a certain field	yuán	他 是 一 名 服务员	tā shì yī míng fúwùyuán	He is a waiter.
至少	at least	zhì shǎo	这里 至少 有 十 个 人	zhèlǐ zhìshǎo yǒu shí gè rén	There are at least ten people here.
律师	lawyer	lǜ shī	他 的 工作 是 律师	tā de gōngzuò shì lǜshī	His job is a lawyer.
整个	whole; entire	zhěng gè	整个 房间 都 很 干净	zhěnggè fángjiān dōu hěn gānjìng	The whole room is very clean.
无	not have; without	wú	他 无 机会 说话	tā wú jīhuì shuōhuà	He has no opportunity to speak.
那边	over there	nà biān	你 看 ， 商店 在 那边	nǐ kàn, shāngdiàn zài nà biān	Look, the store is over there.
疯	crazy	fēng	你 疯 了 吗	nǐ fēng le ma	Are you crazy?
猜	to guess	cāi	你 猜 我 的 名字	nǐ cāi wǒ de míngzi	Guess my name.
咱们	we (including the listener)	zán men	咱们 走 吧	zánmen zǒu ba	Let's go.
床	bed	chuáng	我 喜欢 在 床 上 看书	wǒ xǐhuan zài chuáng shàng kàn shū	I like to read books in bed.
处理	to handle; to deal with	chǔ lǐ	我 不 知道 怎么 处理 这 件 事	wǒ bù zhīdào zěnme chǔlǐ zhè jiàn shì	I don't know how to handle this matter.
喔	oh	ō	喔 ， 我 懂 你 的 意思 了	ō , wǒ dǒng nǐ de yìsi le	Oh, I understand your meaning.
内	inside	nèi	房间 内 有 一 张 桌子 和 两 把 椅子	fángjiān nèi yǒu yī zhāng zhuōzi hé liǎng bǎ yǐzi	Inside the room, there are one table and two chairs.
是否	whether or not	shìfǒu	我 不 知道 他 是否 会 来	wǒ bù zhīdào tā shìfǒu huì lái	I don't know whether or not he will come.
令	to cause; to make	lìng	这 件 事 令 人 很 高兴	zhè jiàn shì lìng rén hěn gāoxìng	This matter makes people very happy.
行动	action; to take action	xíngdòng	我们 现在 开始 行动	wǒmen xiànzài kāishǐ xíngdòng	Let's start taking action now.
发	to send out; to issue	fā	我 给 你 发 了 一 个 电子邮件	wǒ gěi nǐ fā le yī gè diànzǐ yóujiàn	I sent you an email.
调查	to investigate; investigation	diàochá	警察 正在 看 发生 了 什么 事	jǐngchá zhèngzài kàn fāshēng le shénme shì	The police are investigating what happened.
失去	to lose	shīqù	他 失去 了 工作	tā shīqù le gōngzuò	He lost his job.
考虑	to consider	kǎolǜ	我 需要 考虑 一下 这 个 问题	wǒ xūyào kǎolǜ yīxià zhè ge wèntí	I need to consider this question for a bit.
约会	date; appointment	yuēhuì	我 明天 有 一 个 约会	wǒ míngtiān yǒu yī gè yuēhuì	I have a date tomorrow.
通过	to pass through; via	tōngguò	我们 通过 学习 汉语 了解 中国 文化	wǒmen tōngguò xuéxí Hànyǔ liǎojiě Zhōngguó wénhuà	We understand Chinese culture by learning Chinese.
之间	between; among	zhījiān	他们 两 个 人 之间 有 一 个 问题	tāmen liǎng gè rén zhījiān yǒu yī gè wèntí	There is a problem between the two of them.
开心	happy; joyful	kāixīn	今天 我 很 开心	jīntiān wǒ hěn kāixīn	I am very happy today.
母亲	mother	mǔqīn	我 的 母亲 是 一 位 老师	wǒ de mǔqīn shì yī wèi lǎoshī	My mother is a teacher.
主意	idea; plan	zhǔyi	这 是 一 个 好 主意	zhè shì yī gè hǎo zhǔyi	This is a good idea.
探	to explore, visit	tàn	他 去 中国 探 他 的 朋友	tā qù Zhōngguó tàn tā de péngyou	he goes to China to visit his friend.
待	to stay	dāi	我 想 在 这儿 多 待 一会儿	wǒ xiǎng zài zhè'er duō dāi yīhuì'er	I want to stay here a while longer.
变成	to change into; to become	biànchéng	他 变成 了 一 个 好 学生	tā biànchéng le yī gè hǎo xuéshēng	He changed into a good student.
倒	actually, on the contrary	dào	他 没 生气, 他 到 很 开心	tā méi shēngqì, tā dào hěn kāixīn.	He is not angry. actually, he is very happy.
解释	to explain	jiěshì	请 你 解释 一下 这 个 词语 的 意思	qǐng nǐ jiěshì yīxià zhè ge cíyǔ de yìsi	Please explain the meaning of this word.
往	towards	wǎng	请 往 前 走	qǐng wǎng qián zǒu	Please walk forward.
联系	to contact; connection	liánxì	我 会 电话 联系 你	wǒ huì diànhuà liánxì nǐ	I will contact you by phone.
派	to send; to dispatch	pài	公司 派 他 去 北京 工作	gōngsī pài tā qù Běijīng gōngzuò	The company sent him to work in Beijing.
证明	to prove; proof	zhèngmíng	你 能 证明 你 说 的 话 吗	nǐ néng zhèngmíng nǐ shuō de huà ma	Can you prove what you said?
句	sentence; (measure word for sentences)	jù	这 句 话 是 什么 意思	zhè jù huà shì shénme yìsi	What does this sentence mean?
生命	life	shēngmìng	生命 很 重要	shēngmìng hěn zhòngyào	Life is very important.
靠	to lean on; to depend on	kào	他 靠 帮助 别人 工作	tā kào bāngzhù biérén gōngzuò.	He relies on helping other people for work.
难道	could it be that...? (rhetorical question)	nándào	难道 你 不 知道	nándào nǐ bù zhīdào	Could it be that you don't know?
作为	as; to regard as	zuòwéi	作为 一 个 学生 ， 我 应该 好好 学习	zuòwéi yī gè xuéshēng, wǒ yīnggāi hǎohāo xuéxí	As a student, I should study hard.
由	by; from	yóu	这 件 事 由 你 决定	zhè jiàn shì yóu nǐ juédìng	This matter is decided by you.
极了	extremely	jíle	今天 天气 好 极了	jīntiān tiānqì hǎo jíle	The weather is extremely good today.
指	to point; finger	zhǐ	请 你 指 一下 地图 上 的 北京	qǐng nǐ zhǐ yīxià dìtú shàng de Běijīng	Please point to Beijing on the map.
危险	dangerous; danger	wēixiǎn	这 个 地方 很 危险 ， 别 去	zhè ge dìfang hěn wēixiǎn, bié qù	This place is very dangerous, don't go.
讨厌	to dislike; annoying	tǎoyàn	我 讨厌 下雨天	wǒ tǎoyàn xiàyǔtiān	I dislike rainy days.
曾经	once; ever	céngjīng	我 曾经 去 过 北京	wǒ céngjīng qù guo Běijīng	I have been to Beijing once.
处	place; (counter for places)	chù	这 是 一 处 美丽 的 公园	zhè shì yī chù měilì de gōngyuán	This is a beautiful park.
看上去	it seems; it looks as if	kànshangqù	这 个 水果 看上去 不错	zhè ge shuǐguǒ kànshàngqù bùcuò	The fruit looks not bad.
总统	president (of a country)	zǒngtǒng	美国 总统 住 在 哪儿	Měiguó zǒngtǒng zhù zài nǎr	Where does the American president live?
伤害	to hurt; to harm	shānghài	请 不要 伤害 我	qǐng bùyào shānghài wǒ	Please don't hurt me.
控制	to control	kòngzhì	你 要 控制 自己	nǐ yào kòngzhì zìjǐ	You need to control yourself.
糟	terrible; too bad	zāo	今天 天气 很 糟	jīntiān tiānqì hěn zāo	Today's weather is terrible.
偷	to steal	tōu	他 偷 了 我 的 手机	tā tōu le wǒ de shǒujī	He stole my cell phone.
首	first; chief	shǒu	这 是 我 第 一 首 汉语 歌	zhè shì wǒ dì yī shǒu Hànyǔ gē	This is my first Chinese song.
进入	to enter	jìnrù	请 不要 进入 这 个 房间	qǐng bùyào jìnrù zhè ge fángjiān	Please do not enter this room.
能够	to be able to; can	nénggòu	 他 能够 走 很长 的 路	tā nénggòu zǒu hěn cháng de lù	He can walk a very long way.
事实上	in fact; actually	shìshíshang	事实上 ， 我 不 认识 他	shìshíshang, wǒ bù rènshi tā	In fact, I don't know him.
哈	ha (sound of laughter)	hā	哈哈 ， 这 真 好笑	hāhā, zhè zhēn hǎoxiào	Haha, this is really funny.
醒	to wake up; awake	xǐng	我 早上 七 点 醒 了	wǒ zǎoshang qī diǎn xǐng le	I woke up at seven in the morning.
部	part; section; (counter for literature, films and machines)	bù	我 喜欢 这 部 电影	wǒ xǐhuan zhè bù diànyǐng	I like this movie.
昨晚	last night	zuówǎn	我 昨晚 很 晚 睡觉	wǒ zuówǎn hěn wǎn shuìjiào	I went to bed very late last night.
不行	not okay; won't do	bùxíng	这 个 不行	zhè ge bùxíng	This won't do.
而已	that's all; nothing more	éryǐ	我 只是 想 看看 你 而已	wǒ zhǐshì xiǎng kànkan nǐ éryǐ	I just want to take a look at you, that's all.
样子	appearance; manner	yàngzi	他 的 样子 很 好笑	tā de yàngzi hěn hǎoxiào	His appearance is very funny.
有趣	interesting	yǒuqù	这 部 电影 很 有趣	zhè bù diànyǐng hěn yǒuqù	This movie is very interesting.
提	to mention; to bring up	tí	他 提 了 一 个 问题	tā tí le yī gè wèntí	He brought up a question.
部分	part; section	bùfen	我 喜欢 这 本 书 的 第 一 部分	wǒ xǐhuan zhè běn shū de dì yī bùfen	I like the first part of this book.
糟糕	terrible; too bad	zāogāo	太 糟糕 了，下雨 了！	tài zāogāo le, xiàyǔ le	Too bad, it's raining!
保持	to maintain; to keep	bǎochí	请 保持 安静	qǐng bǎochí ānjìng	Please keep quiet.
想到	to think of; to expect	xiǎngdào	我 想到 了 一 个 好 主意	wǒ xiǎngdào le yī gè hǎo zhǔyi	I thought of a good idea.
理解	to understand; comprehension	lǐjiě	我 理解 你 的 意思	wǒ lǐjiě nǐ de yìsi	I understand your meaning.
证据	evidence; proof	zhèngjù	警察 找到 了 证据	jǐngchá zhǎodào le zhèngjù	The police found the evidence.
加	to add; plus	jiā	一 加 一 是 二	yī jiā yī shì èr	One plus one is two.
不同	different	bùtóng	我们 有 不同 的 想法	wǒmen yǒu bùtóng de xiǎngfǎ	We have different ideas.
夫人	madam; Mrs.	fūren	李 夫人 ， 您 好	Lǐ fūren, nínhǎo	Hello, Mrs. Li.
父母	parents	fùmǔ	我 的 父母 都 在 中国	wǒ de fùmǔ dōu zài Zhōngguó	Both my parents are in China.
重	heavy; serious	zhòng	这 个 很 重	zhè ge hěn zhòng	This is very heavy.
恩	(interjection of agreement)	ēn	恩 ， 我 同意	ēn, wǒ tóngyì	Yes, I agree.
家庭	family; household	jiātíng	我 爱 我 的 家庭	wǒ ài wǒ de jiātíng	I love my family.
象	elephant; shape, form	xiàng	我 在 房间 里 看 大象	wǒ zài fángjiān lǐ kàn dàxiàng	I see an elephant in the room.
装	to pretend, attire	zhuāng	她 喜欢 装 可爱	tā xǐhuan zhuāng kě'ài	She likes to pretend to be cute.
秘密	secret	mìmì	我 有 一个 秘密 ， 但 我 不 会 告诉 你	Wǒ yǒu yīgè mìmì, dàn wǒ bù huì gàosù nǐ	I have a secret but I won't tell you.
尸体	corpse	shītǐ	警察 发现 了 一 具 尸体	jǐngchá fāxiàn le yī jù shītǐ	The police discovered a corpse.
