word	word_meaning	word_pinyin	sentence	sentence_pinyin	sentence_meaning
冰箱	refrigerator	bīng xiāng	冰箱 里 有 果汁 和 牛奶	bīngxiāng li yǒu guǒzhī hé niúnǎi	There is juice and milk in the fridge.
把	(active indicator particle)	bǎ	我 把 水果 放進 冰箱	wǒ bǎ shuǐguǒ fàngjìn bīngxiāng	I put the fruits in the fridge.
放	place	fàng	请 把 水果 放 回 冰箱 里	qǐng bǎ shuǐguǒ fàng huí bīngxiāng lǐ	Please put the fruits back in the fridge.
被	by	bèi	牛奶 被 我 放进 了 冰箱	niúnǎi bèi wǒ fàng jìn le bīngxiāng	The milk was put into the fridge by me.
厨房	kitchen	chú fáng	妈妈 在 厨房	māmā zài chúfáng	Mom is in the kitchen.
关	close	guān	请 关 门	qǐng guān mén	Please close the door.
灯	lamp	dēng	我 关了 灯	wǒ guānle dēng	I turned off the light.
离开	to depart	lí kāi	请 离开 厨房 时 关 灯	qǐng líkāi chúfáng shí guān dēng	Please turn off the light when you leave the kitchen.
打扫	to clean	dǎ sǎo	我 今天 要 打扫 我 的 房间	wǒ jīntiān yào dǎsǎo wǒ de fángjiān	I need to clean my room today.
干净	clean	gān jìng	这个 房间 非常 干净	zhège fángjiān fēicháng gānjìng	This room is very clean.
哪儿	where	nà'er	你 的 房间 在 哪儿	nǐ de fángjiān zài nǎ'er	Where is your room?
洗手间	toilet	xǐ shǒu jiān	你 的 洗手间 在 哪儿	nǐ de xǐshǒujiān zài nǎ'er	Where is your bathroom?
重要	important	zhòng yào	打扫 房间 很 重要	dǎsǎo fángjiān hěn zhòngyào	It's important to clean your room.
洗澡	to bathe	xǐ zǎo	我 每天 早上 和 晚上 洗澡	wǒ měitiān zǎoshang hé wǎnshàng xǐzǎo	I bathe every day in the morning and evening.
刷牙	to brush teeth	shuā yá	每天 刷牙 很 重要	měitiān shuāyá hěn zhòngyào	It's important to brush teeth every day.
啊	modal particle ending sentence	a	你 看，这些 猫 多 漂亮 啊！	nǐ kàn, zhèxiē māo duō piàoliang a!	Look how beautiful these cats are!
多么	how (wonderful etc)	duō me	今天 的 天气 多么 好 啊	jīntiān de tiānqì duōme hǎo a	how nice the weather is today
公园	public park	gōng yuán	他 喜 欢在 公园 里 看 书	tā xǐhuān zài gōngyuán lǐ kànshū	He likes reading in the park.
河	river	hé	他 坐 在 河 边	tā zuò zài hé biān	He is sitting by the river.
国家	country	guó jiā	我 爱 我 的 国家 ， 它 有 很 多 的 河 和 公园	wǒ ài wǒ de guójiā, tā yǒu hěnduō de hé hé gōngyuán	I love my country, it has many rivers and parks.
花园	garden	huā yuán	你 有 花园 吗	nǐ yǒu huāyuán ma	Do you have a garden?
绿	green	lǜ	这个 花园 里 的 草 很 绿	zhège huāyuán lǐ de cǎo hěn lǜ	The grass in this garden is very green.
草	grass	cǎo	这个 花园 里 的 草 很 绿	zhège huāyuán lǐ de cǎo hěn lǜ	The grass in this garden is very green.
花	flower	huā	这个 花园 里 有 很 多 的 花	zhège huāyuán li yǒu hěnduō de huā	There are many flowers in this garden.
爬山	to hike	pá shān	我们 去 爬山 吧	wǒmen qù páshān ba.	let's go hiking.
树	tree	shù	我 花园 里 的 树 很 大	wǒ huāyuán lǐ de shù hěn dà	The tree in my garden is very big.
刮风	windy	guā fēng	今天 晚上 刮风	jīntiān wǎnshàng guāfēng	It is windy this evening.
地方	area	dì fang	这 个 地方 有 很多 树	zhège dìfāng yǒu hěnduō shù dìfāng	This place has a lot of trees.
世界	world	shì jiè	这 里 是 世界 上 最 冷 的 地方	zhèlǐ  shì shìjiè shàng zuì lěng dì dìfāng	This is the coldest place in the world.
云	cloud	yún	今天多云	jīntiān duōyún	It is cloudy today.
太阳	sun	tài yáng	今天 非常 多云 多云 ， 我 看 不到 太阳	jīntiān fēicháng duōyún duōyún, wǒ kàn bù dào tàiyáng	it's very cloudy today, I can't see the sun.
月亮	moon	yuè liang	月亮 出来 了	yuèliàng chūláile	The moon has come out.
办公室	office	bàn gōng shì	我 现在 在 办公室	wǒ xiànzài zài bàngōngshì	I'm at the office right now.
层	floor	céng	我们 的 办公室 在 二 层	wǒmen de bàngōngshì zài èr céng	Our office is on the second floor.
经理	manager	jīng lǐ	这 是 我 经理 的 办公室	zhè shì wǒ jīnglǐ de bàngōngshì	This is my manager's office.
同事	colleague	tóng shì	我 的 同事 工作 很 忙	wǒ de tóngshì gōngzuò hěn máng	My colleague is very busy at work.
楼	building	lóu	我 的 同事 的 办公室 在 这个 大楼 的 第 六 层	Wǒ de tóngshì de bàngōngshì zài zhège dàlóu de dì liù céng	my colleague's office is on the sixth floor of this building.
电梯	elevator	diàn tī	我们 的 大楼 有 电梯	wǒmen de dàlóu yǒu diàntī	our building has an elevator
环境	environment	huán jìng	这 家 公司 的 工作 环境 怎么样	zhè jiā gōngsī de gōngzuò huánjìng zěnme yàng	What is the work environment like in this company?
经过	to pass	jīng guò	我 经过 那个 公园 去 上班	wǒ jīngguò nàge gōngyuán qù shàngbān	I pass by that park on my way to work.
习惯	used to	xí guàn	她 不 习惯 新 的 工作 环境	tā bù xíguàn xīn de gōngzuò huánjìng	She is not used to the new work environment.
迟到	to arrive late	chí dào	我 昨天 上班 迟到了	wǒ zuótiān shàngbān chídàole	I got to work late yesterday.
遇	encounter	yù	今天 工作 的 时候 遇到了 一些 问题	jīntiān gōngzuò de shíhòu yù dàole yīxiē wèntí	I encountered some problems at work today.
突然	sudden	tū rán	早上 突然 遇到 了 一 个 问题 ， 所以 我 迟到 了	zǎoshang túrán yù dàole yīgè wèntí, suǒyǐ wǒ chídàole	I suddenly encountered a problem in the morning, so I was late.
为什么	why	wèi shén me	你昨天为什么迟到了	nǐ zuótiān wèishéme chídàole	Why were you late yesterday?
会议	meeting	huì yì	今天 三 点 三十分 有 一个 会议	jīntiān sān diǎn sānshí fēn yǒu yīgè huìyì	There is a meeting at three thirty today.
又	again	yòu	今天 怎么 又 有 会议了	jīntiān zěnme yòu yǒu huìyìle	Why is there another meeting today?
结束	end	jié shù	会议 结束 的 时候 ， 大家 都 可以 回家 了	huìyì jiéshù de shíhòu, dàjiā dōu kěyǐ huí jiāle	When the meeting is over, everyone can go home.
完成	to complete	wán chéng	我们 已经 完成了 今天 的 工作	wǒmen yǐjīng wánchéngle jīntiān de gōngzuò	We already completed today's work.
地铁	subway	dì tiě	他 坐 地铁 回家	tā zuò dìtiě huí jiā	He takes the subway home.
附近	close	fù jìn	在 你 家 附近 有 公园 吗	zài nǐ jiā fùjìn yǒu gōngyuán ma	Is there a park near your home?
站	station	zhàn	我 在 火车 站 附近	wǒ zài huǒchē zhàn fùjìn	I'm near the train station.
西	west	xī	办公室 在 地铁 站 西面	bàngōngshì zài dìtiě zhàn xī miàn	The office is west of the subway station.
东	east	dōng	他 住 在 我 家 东边	tā zhù zài wǒj iā dōngbian	He lives east of my house.
邻居	neighbor	lín jū	我 和 很多 邻居 都 是 朋友	wǒ hé hěnduō línjū dōu shì péngyǒu	I am friends with many of my neighbors.
辆	classifier for vehicles	liàng	他 有 两 辆 车	tā yǒu liǎng liàng chē	He has two cars.
司机	driver	sī jī	那个 出租车 司机 有 一 辆 好 车	nàgè chūzū chē sījī yǒuyī liàng hǎo chē	That taxi driver has a nice car.
清楚	clear	qīng chu	我 不 太 清楚 怎么 走	wǒ bù tài qīngchǔ zěnme zǒu	I am not sure where to go./I'm not clear how to go.
地图	map	dì tú	我 用 地图 找到 了 这个 地方	wǒ yòng dìtú zhǎodàole zhège dìfāng	I found this place using a map.
条	strip; (counter for thin items, roads)	tiáo	我 家 旁边 的 路 很长	wǒjiā pángbiān de lù hěn zhǎng	The road next to my house is very long.
接	to receive	jiē	我去 接 他 从 机场 回来	wǒ qù jiē tā cóng jīchǎng huílái	I went to pick him up from the airport.
街道	street	jiē dào	他 住 在 这 条 街道 上	tā zhù zài zhè tiáo jiēdào shàng	He lives on this street.
一直	continuously	yī zhí	我 一直 住 在 这 条 街道 上	wǒ yīzhí zhù zài zhè tiáo jiēdào shàng	I've always lived on this street.
注意	pay attention	zhù yì	开车 时 请 注意 道路	kāichē shí qǐng zhùyì dàolù	Please pay attention to the road when driving.
南	south	nán	他 住 在 学校 南边	tā zhù zài xuéxiào nánbian	He lives south of the school.
北方	north	běi fāng	北方 比 我 住 在 南方 的 时候 冷 多 了	běifāng bǐ wǒ zhù zài nánfāng de shíhòu lěng duōle	it is much colder in the north compared to when I lived in the south.
刻	quarter (hour)	kè	我 一 刻 钟 后 就要 离开	wǒ yīkè zhōng hòu jiù yào líkāi	I'm leaving in a quarter hour.
终于	finally	zhōng yú	经过 几个 小时 , 我 终于 看到 了 火车 进 站	jīngguò jǐ gè xiǎoshí, wǒ zhōngyú kàn dàole huǒchē jìn zhàn	After several hours, I finally saw the train entering the station.
中间	between	zhōng jiān	我 家 和 邻居 家 中间 有 一 个 公园	wǒjiā hé línjū jiā zhōngjiān yǒu yīgè gōngyuán	There is a park between my house and my neighbor's house.
鼻子	nose	bí zi	她 的 鼻子 很 小	tā de bízi hěn xiǎo	Her nose is very small.
腿	leg	tuǐ	狗 有 四条 腿	gǒu yǒu sìtiáo tuǐ	dogs have four legs.
疼	hurts	téng	我 腿 痛	wǒ tuǐ téng	My legs hurt.
耳朵	ear	ěr duo	这些 狗 有 大 耳朵	zhèxiē gǒu yǒu dà ěrduǒ	Those dogs have big ears.
只	(counter for birds and some animals)	zhī	那 只 小狗 的 耳朵 很 小	nà zhǐ xiǎo gǒu de ěrduǒ hěn xiǎo	That puppy has very small ears.
脚	foot	jiǎo	他 的 脚 很 大	tā de jiǎo hěn dà	His feet are very big.
头	head	tóu	我 头 疼	wǒ tóu téng	My head hurts.
头发	hair	tóu fa	她 的 头发 很 长	tā de tóufǎ hěn zhǎng	Her hair is very long.
胖	fat	pàng	那个 男人 很 胖	Nàgè nánrén hěn pàng	That man is very fat.
脸	face	liǎn	他 的 脸 很 胖	tā de liǎn hěn pàng	His face is very fat.
发烧	to have fever	fā shāo	你 的 脸色 很 红 ， 你 发烧 了 吗	nǐ de liǎnsè hěn hóng, nǐ fāshāole ma?	Your face is very red, do you have a fever?
感冒	to catch cold	gǎn mào	我在冷天里出门，感冒了	wǒ zài lěng tiān lǐ chūmén, gǎnmàole.	I went out in cold weather and caught a cold.
应该	should	yīng gāi	外面 太 冷 了，你 应该 进来	wàimiàn tài lěngle, nǐ yīnggāi jìnlái	It's too cold outside. You should come in.
检查	inspection	jiǎn chá	我 明天 去 做 身体检查	wǒ míngtiān qù zuò shēntǐ jiǎnchá	I am going for a physical examination tomorrow.
作用	to act on	zuò yòng	药 作用 很 快	yào zuòyòng hěn kuài	The medicine takes effect very quickly.
锻炼	to exercise	duàn liàn	我们 应该 多 锻炼	wǒmen yīnggāi duō duànliàn	 We should exercise more often.
健康	health	jiàn kāng	我 关心 你 的 健康 ， 所以 我 希望 你 每天 都 能 锻炼 身体	wǒ guānxīn nǐ de jiànkāng, suǒyǐ wǒ xīwàng nǐ měitiān dōu néng duànliàn shēntǐ	 I care about your health, so I hope you can exercise every day
关心	to care for sth	guān xīn	我 关心 你 的 健康 ， 所以 我 希望 你 每天 都 能 锻炼 身体	wǒ guānxīn nǐ de jiànkāng, suǒyǐ wǒ xīwàng nǐ měitiān dōu néng duànliàn shēntǐ	 I care about your health, so I hope you can exercise every day.
瘦	thin	shòu	她 真 的 很 瘦	tā zhēn de hěn shòu	She is really skinny.
像	to resemble	xiàng	我 希望 我 可以 像 她 那样 瘦	wǒ xīwàng wǒ kěyǐ xiàng tā nàyàng shòu	I wish I could be as thin as her.
词语	word	cí yǔ	我 不 懂 这个 词语 的 意思	wǒ bù dǒng zhège cíyǔ de yìsi	I don't understand the meaning of this word.
画	to draw	huà	我 喜欢 画画	wǒ xǐhuān huà huà	I like to draw.
铅笔	pencil	qiān bǐ	我 妹妹 用 铅笔 画了 一只 猫。	wǒ mèimei yòng qiānbǐhuàle yī zhǐ māo.	My little sister drew a cat with a pencil.
简单	simple	jiǎn dān	这 个 问题 很 简单	zhège wèntí hěn jiǎndān	This question is very simple.
句子	sentence	jù zi	我 只 认识 简单 的 词语 和 句子	wǒ zhǐ rènshí jiǎndān de cíyǔ hé jùzi	I only know simple words and sentences
故事	story	gù shi	我 正在 写 一个 故事	wǒ zhèngzài xiě yīgè gùshì	I'm writing a story.
奇怪	strange	qí guài	这个 故事 很 奇怪	zhège gùshì hěn qíguài	This story is weird.
关于	pertaining to	guān yú	这 是 一个 关于 朋友 的 故事	zhè shì yīgè guānyú péngyǒu de gùshì	This is a story about friends.
相信	to believe	xiāng xìn	我相信 你 说 的 故事	wǒ xiāngxìn nǐ shuō de gùshì	I believe the story you told.
信	believe	xìn	我 不信 你 说 的	Wǒ bù xìn nǐ shuō de	I don't believe what you said.
自己	oneself	zì jǐ	他 不 相信 自己	tā bù xiāngxìn zìjǐ	He doesn't believe in himself.
必须	to have to	bì xū	我们 必须 学习	wǒmen bìxū xuéxí	We must study.
段	paragraph	duàn	这 本 书 有 十 段	zhè běn shū yǒu shí duàn	This book has ten paragraphs.
要求	to request	yāo qiú	老师 要求 我们 写 一个 故事	lǎoshī yāoqiú wǒmen xiě yīgè gùshì	The teacher asked us to write a story.
衬衫	shirt	chèn shān	他 穿 的 衬衫 和 我 穿 的 一样	tā chuān de chènshān hé wǒ chuān de yīyàng	he is wearing the same shirt as I'm wearing
蓝	blue	lán	我 穿 着 一件 蓝色 衬衫	Wǒ chuānzhe yī jiàn lán sè chènshān	I'm wearing a blue shirt.
裤子	trousers	kù zi	我 买 了 一 条 新 的 蓝色 裤子	wǒ mǎile yītiáo xīn de lán sè kùzi	I bought a new pair of blue pants
黄	yellow	huáng	这 件 黄色 衬衫 很 贵	zhè jiàn huángsè chènshān hěn guì	This yellow shirt was very expensive.
裙子	skirt	qún zi	她 穿 那 件 裙子 很 可爱	tā chuān nà jiàn qúnzi hěn kě'ài	she is very cute in that skirt
可爱	adorable	kě ài	她 穿 那 件 裙子 很 可爱	tā chuān nà jiàn qúnzi hěn kě'ài	she is very cute in that skirt
帽子	hat	mào zi	我 喜欢 你 的 绿色 帽子	wǒ xǐhuān nǐ de lǜsè màozi	I like your green hat
短	short	duǎn	这个 裙子 太 短 了	zhège qúnzi tài duǎnle	This skirt is too short.
舒服	comfortable	shū fu	这 件 衬衫 很 舒服	zhè jiàn chènshān hěn shūfú	This shirt is very comfortable.
成绩	achievement; grade	chéng jì	我 的 成绩 很 好	wǒ de chéngjì hěn hǎo	My grades are good.
班	class	bān	他 的 考试 成绩 是 班 里 最好 的	tā de kǎoshì chéngjī shì bān lǐ zuì hǎo de	His test scores are the best in the class.
年级	grade	nián jí	我 儿子 现在 上 一 年级	wǒ ér zǐ xiànzài shàng yī niánjí	My son is in first grade now.
作业	homework	zuò yè	老师 要求 作业 必须 有 五 段，或 五百 字	lǎoshī yāoqiú zuòyè bìxū yǒu wǔ duàn, huò wǔbǎi zì	The teacher requires the homework to have five paragraphs, or 500 words.
图书馆	library	tú shū guǎn	我 要 去 图书馆 找 书	wǒ yào qù túshū guǎn zhǎo shū	I'm going to the library to find a book.
历史	history	lì shǐ	今天 有 历史 考试	jīntiān yǒu lìshǐ kǎoshì	There is a history exam today.
复习	review	fù xí	我 要 去 图书馆 复习 历史 考试	wǒ yào qù túshū guǎn fùxí lìshǐ kǎoshì	I'm going to the library to study for a history exam.
刚才	(just) a moment ago	gāng cái	我们 刚才 开始 为 明天 的 考试 学习	wǒmen gāngcái kāishǐ wéi míngtiān de kǎoshì xuéxí	We just started studying for tomorrow's exam.
讲	to speak	jiǎng	老师 今天 讲了 很多 历史	lǎoshī jīntiān jiǎngle hěnduō lìshǐ	The teacher talked a lot about history today.
明白	understand	míng bai	今天 的 课 你 听 明白了 吗	jīntiān de kè nǐ tīng míngbáile ma	Did you understand today's lesson?
如果	if	rú guǒ	如果 你 不 明白 ， 就 问 老师	rúguǒ nǐ bù míngbái, jiù wèn lǎoshī	if you don't understand, ask the teacher
其他	other	qí tā	你还有其他问题吗	nǐ hái yǒu qítā wèntí ma	Do you have any other questions?
认真	conscientious	rèn zhēn	我 每天 都 认真 做 作业。	wǒ měitiān dōu rènzhēn zuò zuòyè	I do my homework seriously every day.
而且	(not only ...) but also	ér qiě	老师 讲 ， 而且 学生 们 都 认真 听 着	lǎoshī jiǎng, érqiě xuéshēngmen dōu rènzhēn tīngzhe	The teacher talks, and the students listen carefully.
数学	mathematics	shù xué	你 做完 数学 作业 了 吗	nǐ zuò wán shùxué zuòyèle ma	Have you finished your math homework?
黑板	blackboard	hēi bǎn	老师 在 黑板 上 写 了 数学 题	lǎoshī zài hēibǎn shàng xiěle shùxué tí	The teacher wrote math problems on the blackboard.
普通话	Mandarin	pǔ tōng huà	普通话 是 我 最 喜欢 的 课	pǔtōnghuà shì wǒ zuì xǐhuān de kè	Mandarin is my favorite class.
教	to teach	jiāo	我 在 学校 教 普通话	wǒ zài xuéxiào jiào pǔtōnghuà	I teach Mandarin at school.
校长	principal	xiào zhǎng	他 被 送 到 校长 办公室 了	tā bèi sòng dào xiàozhǎng bàngōngshìle	He was sent to the principal's office.
比赛	match; competition	bǐ sài	  明天 有 篮球 比赛	Míngtiān yǒu lánqiú bǐsài	There is a basketball game tomorrow.
举行	to hold (a meeting	jǔ xíng	  我们 每周 都会 举行 篮球 比赛	wǒmen měi zhōu dūhuì jǔxíng lánqiú bǐsài	We have basketball games every week.
周末	weekend	zhōu mò	这个 周末 你 想 打 篮球 吗	zhège zhōumò nǐ xiǎng dǎ lánqiú ma	Do you want to play basketball this weekend?
除了	besides	chú le	除了 周末 我 都 很 忙 ， 没有 时间 去 运动	chúle zhōumò wǒ dōu hěn máng, méiyǒu shíjiān qù yùndòng	except for the weekends, I am very busy and have no time to exercise.
体育	sports; fitness	tǐ yù	我们 每周 都 有 两 次 体育 课。	wǒmen měi zhōu dōu yǒu liǎng cì tǐyù kè	We have two physical education classes every week.
努力	great effort	nǔ lì	他 很 努力 锻炼	tā hěn nǔlì duànliàn	He works out really hard.
水平	level	shuǐ píng	我 的 体育 水平 很 好	wǒ de tǐyù shuǐpíng hěn hǎo	My fitness level is very good.
练习	practice	liàn xí	我 今天 有 篮球 练习	wǒ jīntiān yǒu lánqiú liànxí	I have basketball practice today.
提高	to raise	tí gāo	他 的 体育 水平 提高了	tā de tǐyù shuǐpíng tígāole	His athletic ability has improved.
为了	in order to	wèi le	为了 提高 我 的 体育 水平 ， 我 每天 都 努力 练习	wèile tígāo wǒ de tǐyù shuǐpíng, wǒ měitiān dū nǔlì liànxí	In order to improve my fitness level, I practice hard every day.
经常	often	jīng cháng	他 经常 去 公园 跑步	tā jīngcháng qù gōngyuán pǎobù	He often goes running in the park.
然后	after	rán hòu	我 每天 早上 六 点 半 起床 ， 然后 去 锻炼	wǒ měitiān zǎoshangm liù diǎn bàn qǐchuáng, ránhòu qù duànliàn	I wake up at 6:30 every morning, then go to exercise.
以后	after	yǐ hòu	完成 运动 以后 ， 我 喜欢 喝 苹果汁	wánchéng yùndòng yǐhòu, wǒ xǐhuān hē píngguǒ zhī	After completing exercise, I like to drink apple  juice.
动物	animal	dòng wù	这个 公园 里 有 很 多 动物	zhège gōngyuán li yǒu hěnduō dòngwù	There are many animals in this park.
熊猫	panda	xióng māo	我在 动物园 看到了一个熊猫	wǒ zài dòngwùyuán kàn dàole yīgè xióngmāo	I saw a panda at the zoo.
认为	to believe	rèn wéi	我 认为 这 只 熊猫 很 可爱	wǒ rènwéi zhè zhǐ xióngmāo hěn kě'ài	I think this panda is very cute
马	horse	mǎ	马 正在 河 里 喝 水	mǎ zhèngzài hé lǐ hē shuǐ	The horse is drinking from the river.
骑	to ride	qí	他 喜欢 骑马	tā xǐhuān qímǎ	he likes to ride horses
难	difficult	nán	骑 马 很 难 吗	qímǎ hěn nán ma	Is riding a horse difficult?
照顾	to take care of	zhào gu	照顾 熊猫 是 很 难 的	zhàogù xióngmāo shì hěn nán de	It is very difficult to take care of pandas.
鸟	bird	niǎo	我 喜欢 在 公园 喂 鸟	wǒ xǐhuān zài gōngyuán wèi niǎo	I like to feed the birds in the park.
中	in	zhōng	鸟儿 在 花园 中 唱歌	niǎoer zài huāyuán zhōng chànggē	The birds are singing in the garden.
安静	quiet	ān jìng	他 喜欢 公园 的 安静	tā xǐhuān gōngyuán de ānjìng	He likes the quietness of the park.
声音	voice	shēng yīn	公园 里 非常 安静 ， 只有 鸟儿 的 声音	gōngyuán lǐ fēi cháng ānjìng, zhǐ yǒu niǎoér de shēngyīn	The park is very quiet, with only the voice of birds.
聚会	get together	jùhuì	他 今晚 有 个 生日 聚会	tā jīn wǎn yǒu gè shēngrì jùhuì	He has a birthday party tonight.
参加	to participate	cān jiā	你 今晚 会 来 参加 我 的 生日 聚会 吗	nǐ jīn wǎn huì lái cānjiā wǒ de shēngrì jùhuì ma?	Are you coming to my birthday party tonight?
机会	opportunity	jī huì	如果 我 有 机会 ， 我 会 参加 你 的 生日	聚会 rúguǒ wǒ yǒu jīhuì, wǒ huì cānjiā nǐ de shēngrì jùhuì	If I have the opportunity, I will attend your birthday party.
表示	to express	biǎo shì	他 表示 会 来 参加 我 的 生日 聚会	tā biǎoshì huì lái cānjiā wǒ de shēngrì jùhuì	He said he would come to my birthday party.
春节	spring festival	chūn jié 	今年 春节 是 1 月 28 号	Jīnnián chūnjié shì 1 yuè 28 hào	This year's Spring Festival is on January 28th.
节日	holiday	jié rì	春节 是 我 最 喜欢 的 节日	chūnjié shì wǒ zuì xǐhuān de jiérì	The Spring Festival is my favorite holiday.
文化	culture	wén huà	在 中国 文化 中 ， 春节 是非 常 重要 的 节日	zài zhōngguó wénhuà zhōng, chūnjié shì fēicháng zhòngyào de jiérì	In Chinese culture, the spring festival is a very important festival.
打算	to plan	dǎ suàn	我 打算 参加 他 的 生日 聚会	wǒ dǎsuàn cānjiā tā de shēngrì jùhuì	I plan to attend his birthday party.
结婚	to marry	jié hūn	我们 打算 明年 结婚	wǒmen dǎsuàn míngnián jiéhūn	We plan to get married next year.
祝	to wish	zhù	祝 你 生日快乐	zhù nǐ shēngrì kuàilè	Wish you a happy birthday!
客人	visitor	kè rén	很多 客人 参加了 他 的 生日 聚会	hěnduō kèrén shēn jiā le tā de shēngrì jùhuì	Many guests attended his birthday party.
礼物	gift	lǐ wù	你 送 她 礼物 了 吗	nǐ sòng tā lǐwùle ma	Did you give her a gift?
位	formal counter for people	wèi	十 位 客人 打算 参加 他 的 生日 聚会	shí wèi kèrén dǎsuàn cānjiā tā de shēngrì jùhuì	Ten guests plan to attend his birthday party.
那天	the day of	nèi tiān	在 他 生日 那天 客人 们 送 了 他 很多 礼物	zài tā shēngrì nèitiān kèrénmen sòngle tā hěnduō lǐwù	On his birthday the guests gave him many gifts.
需要	to need	xū yào	你 需要 什么 吗	nǐ xūyào shénme ma	Do you need something?
帮忙	to help (before verbs)	bāng máng	我 需要 帮忙 做 作业	wǒ xūyào bāngmáng zuò zuo yè	I need help with my homework.
